C	V	Word	OrigRows
1	1	The	1
1	1	elder	2
1	1	to	4
1	1	the	4
1	1	chosen	3
1	1	lady	4
1	1	and	5
1	1	her	8
1	1	children	6;7
1	1	whom	9
1	1	I	10
1	1	love	11
1	1	in	12
1	1	truth	13
1	1	and	14
1	1	not	15
1	1	only	17
1	1	I	16
1	1	but	18
1	1	also	19
1	1	all	20
1	1	the	21
1	1	ones	21
1	1	having	22
1	1	known	22
1	1	the	23
1	1	truth	24
1	2	because	25
1	2	of	25
1	2	the	26
1	2	truth	27
1	2	that	28
1	2	remains	29
1	2	in	30
1	2	us	31
1	2	and	32
1	2	will	35
1	2	be	35
1	2	with	33
1	2	us	34
1	2	to	36
1	2	eternity	37;38
1	3	Grace	42
1	3	mercy	43
1	3	and	44
1	3	peace	44
1	3	will	39
1	3	be	39
1	3	with	40
1	3	us	41
1	3	from	45
1	3	God	46
1	3	the	47
1	3	Father	47
1	3	and	48
1	3	from	49
1	3	Jesus	50
1	3	Christ	51
1	3	the	52
1	3	Son	53
1	3	of	54;55
1	3	the	54;55
1	3	Father	54;55
1	3	in	56
1	3	truth	57
1	3	and	58
1	3	love	59
1	4	I	60
1	4	rejoiced	60
1	4	greatly	61
1	4	that	62
1	4	I	63
1	4	found	63
1	4	some	64
1	4	of	64
1	4	your	67
1	4	children	65;66
1	4	walking	68
1	4	in	69
1	4	truth	70
1	4	just	71
1	4	as	71
1	4	we	73
1	4	have	73
1	4	received	73
1	4	a	72
1	4	commandment	72
1	4	from	74
1	4	the	75
1	4	Father	76
1	5	And	77
1	5	now	78
1	5	I	79
1	5	ask	79
1	5	you	80
1	5	lady	81
1	5	not	82
1	5	as	83
1	5	writing	86
1	5	a	84
1	5	new	85
1	5	commandment	84
1	5	to	87
1	5	you	87
1	5	but	88
1	5	what	89
1	5	we	90
1	5	have	90
1	5	had	90
1	5	from	91
1	5	the	92
1	5	beginning	92
1	5	that	93
1	5	we	94
1	5	should	94
1	5	love	94
1	5	one	95
1	5	another	95
1	6	And	96
1	6	this	97
1	6	is	98
1	6	that	99
1	6	love	100
1	6	that	101
1	6	we	102
1	6	should	102
1	6	walk	102
1	6	according	103
1	6	to	103
1	6	his	106
1	6	commandments	104;105
1	6	This	107
1	6	is	110
1	6	the	108
1	6	commandment	109
1	6	just	111
1	6	as	111
1	6	you	112
1	6	heard	112
1	6	from	113
1	6	the	114
1	6	beginning	114
1	6	that	115
1	6	you	118
1	6	should	118
1	6	walk	118
1	6	in	116
1	6	it	117
1	7	For	119
1	7	many	120
1	7	deceivers	121
1	7	have	122
1	7	gone	122
1	7	out	122
1	7	into	123
1	7	the	124
1	7	world	125
1	7	the	126
1	7	ones	126
1	7	not	127
1	7	confessing	128
1	7	Jesus	129
1	7	Christ	130
1	7	coming	131
1	7	in	132
1	7	flesh	133
1	7	This	134
1	7	is	135
1	7	the	136
1	7	deceiver	137
1	7	and	138
1	7	the	139
1	7	antichrist	140
1	8	Watch	141
1	8	yourselves	142
1	8	that	143
1	8	you	145
1	8	do	145
1	8	not	144
1	8	lose	145
1	8	what	146
1	8	we	147
1	8	have	147
1	8	worked	147
1	8	for	147
1	8	but	148
1	8	may	151
1	8	receive	151
1	8	a	149
1	8	full	150
1	8	reward	149
1	9	Everyone	152;153
1	9	going	154
1	9	beyond	154
1	9	and	155
1	9	not	156
1	9	remaining	157
1	9	in	158
1	9	the	159
1	9	teaching	160
1	9	of	161;162
1	9	Christ	161;162
1	9	does	165
1	9	not	164
1	9	have	165
1	9	God	163
1	9	The	166
1	9	one	166
1	9	remaining	167
1	9	in	168
1	9	the	169
1	9	teaching	170
1	9	this	171
1	9	one	171
1	9	has	178
1	9	both	172
1	9	the	173
1	9	Father	174
1	9	and	175
1	9	the	176
1	9	Son	177
1	10	If	179
1	10	anyone	180
1	10	comes	181
1	10	to	182
1	10	you	183
1	10	and	184
1	10	does	189
1	10	not	188
1	10	bring	189
1	10	this	185
1	10	teaching	186;187
1	10	do	191
1	10	not	190
1	10	receive	191
1	10	him	192
1	10	into	193
1	10	your	194
1	10	house	194
1	10	and	195
1	10	do	199
1	10	not	198
1	10	say	199
1	10	to	197
1	10	him	197
1	10	Greetings	196
1	11	For	202
1	11	the	200
1	11	one	200
1	11	saying	201
1	11	to	203
1	11	him	203
1	11	Greetings	204
1	11	shares	205
1	11	in	206;207
1	11	his	208
1	11	evil	209;210
1	11	deeds	206;207
1	12	Having	212
1	12	many	211
1	12	things	211
1	12	to	214
1	12	write	214
1	12	to	213
1	12	you	213
1	12	I	216
1	12	did	216
1	12	not	215
1	12	want	216
1	12	with	217
1	12	paper	218
1	12	and	219
1	12	ink	220
1	12	However	221
1	12	I	222
1	12	hope	222
1	12	to	223
1	12	come	223
1	12	to	224
1	12	you	225
1	12	and	226
1	12	to	230
1	12	speak	230
1	12	mouth	227
1	12	to	228
1	12	mouth	229
1	12	so	231
1	12	that	231
1	12	your	234
1	12	joy	232;233
1	12	might	236
1	12	be	236
1	12	made	235
1	12	complete	235
1	13	The	239
1	13	children	240
1	13	of	241;242
1	13	your	243
1	13	chosen	244;245
1	13	sister	241;242
1	13	greet	237
1	13	you	238
