C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	ὁ	¶		ὁ	G35880	EA	,,,NMS,
1	1	πρεσβύτερος		;	πρεσβύτερος	G42450	NS	,,,NMSC
1	1	Γαΐῳ			Γάϊος	G10500	N	,,,,DMS,
1	1	τῷ			ὁ	G35880	EA	,,,DMS,
1	1	ἀγαπητῷ		,	ἀγαπητός	G00270	AR	,,,DMS,
1	1	ὃν			ὅς	G37390	RR	,,,AMS,
1	1	ἐγὼ			ἐγώ	G14730	RP	,,1N,S,
1	1	ἀγαπῶ			ἀγαπάω	G00250	V	IPA1,,S,
1	1	ἐν			ἐν	G17220	P	,,,,D,,,
1	1	ἀληθείᾳ		.	ἀλήθεια	G02250	N	,,,,DFS,
1	2	ἀγαπητέ	¶	,	ἀγαπητός	G00270	NS	,,,VMS,
1	2	περὶ			περί	G40120	P	,,,,G,,,
1	2	πάντων			πᾶς	G39560	RI	,,,GNP,
1	2	εὔχομαί			εὔχομαι	G21720	V	IPM1,,S,
1	2	σε			σύ	G47710	RP	,,2A,S,
1	2	εὐοδοῦσθαι			εὐοδόω	G21370	V	NPP,,,,,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	ὑγιαίνειν		,	ὑγιαίνω	G51980	V	NPA,,,,,
1	2	καθὼς			καθώς	G25310	D	,,,,,,,,
1	2	εὐοδοῦταί			εὐοδόω	G21370	V	IPP3,,S,
1	2	σου			σύ	G47710	RP	,,2G,S,
1	2	ἡ			ὁ	G35880	EA	,,,NFS,
1	2	ψυχή		.	ψυχή	G55900	N	,,,,NFS,
1	3	ἐχάρην			χαίρω	G54630	V	IAP1,,S,
1	3	γὰρ			γάρ	G10630	CC	,,,,,,,
1	3	λείαν			λείαν	G30290	D	,,,,,,,,
1	3	ἐρχομένων			ἔρχομαι	G20640	V	PPM,GMP,
1	3	ἀδελφῶν			ἀδελφός	G00800	N	,,,,GMP,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	μαρτυρούντων			μαρτυρέω	G31400	V	PPA,GMP,
1	3	σου			σύ	G47710	RP	,,2G,S,
1	3	τῇ			ὁ	G35880	EA	,,,DFS,
1	3	ἀληθείᾳ		,	ἀλήθεια	G02250	N	,,,,DFS,
1	3	καθὼς			καθώς	G25310	D	,,,,,,,,
1	3	σὺ			σύ	G47710	RP	,,2N,S,
1	3	ἐν			ἐν	G17220	P	,,,,D,,,
1	3	ἀληθείᾳ			ἀλήθεια	G02250	N	,,,,DFS,
1	3	περιπατεῖς		.	περιπατέω	G40430	V	IPA2,,S,
1	4	μειζοτέραν			μειζότερος	G31870	NS	,,,AFSC
1	4	τούτων			οὗτος	G37780	RD	,,,GNP,
1	4	οὐκ			οὐ	G37560	D	,,,,,,,,
1	4	ἔχω			ἔχω	G21920	V	IPA1,,S,
1	4	χαράν		,	χαρά	G54790	N	,,,,AFS,
1	4	ἵνα			ἵνα	G24430	D	,,,,,,,,
1	4	ἀκούω			ἀκούω	G01910	V	SPA1,,S,
1	4	τὰ			ὁ	G35880	EA	,,,ANP,
1	4	ἐμὰ			ἐμός	G16990	EP	,,1ANP,
1	4	τέκνα			τέκνον	G50430	N	,,,,ANP,
1	4	ἐν			ἐν	G17220	P	,,,,D,,,
1	4	τῇ			ὁ	G35880	EA	,,,DFS,
1	4	ἀληθείᾳ			ἀλήθεια	G02250	N	,,,,DFS,
1	4	περιπατοῦντα		.	περιπατέω	G40430	V	PPA,ANP,
1	5	ἀγαπητέ	¶	,	ἀγαπητός	G00270	NS	,,,VMS,
1	5	πιστὸν			πιστός	G41030	NS	,,,ANS,
1	5	ποιεῖς			ποιέω	G41600	V	IPA2,,S,
1	5	ὃ		,	ὅς	G37390	RR	,,,ANS,
1	5	ἐὰν			ἐάν	G14370	T	,,,,,,,,
1	5	ἐργάσῃ			ἐργάζομαι	G20380	V	SAM2,,S,
1	5	εἰς			εἰς	G15190	P	,,,,A,,,
1	5	τοὺς			ὁ	G35880	EA	,,,AMP,
1	5	ἀδελφοὺς			ἀδελφός	G00800	N	,,,,AMP,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	τοῦτο			οὗτος	G37780	RD	,,,ANS,
1	5	ξένους		;	ξένος	G35810	NS	,,,AMP,
1	6	οἳ			ὅς	G37390	RR	,,,NMP,
1	6	ἐμαρτύρησάν			μαρτυρέω	G31400	V	IAA3,,P,
1	6	σου			σύ	G47710	RP	,,2G,S,
1	6	τῇ			ὁ	G35880	EA	,,,DFS,
1	6	ἀγάπῃ			ἀγάπη	G00260	N	,,,,DFS,
1	6	ἐνώπιον			ἐνώπιον	G17990	PI	,,,G,,,
1	6	ἐκκλησίας		,	ἐκκλησία	G15770	N	,,,,GFS,
1	6	οὓς			ὅς	G37390	RR	,,,AMP,
1	6	καλῶς			καλῶς	G25730	D	,,,,,,,,
1	6	ποιήσεις		,	ποιέω	G41600	V	IFA2,,S,
1	6	προπέμψας			προπέμπω	G43110	V	PAA,NMS,
1	6	ἀξίως			ἀξίως	G05160	D	,,,,,,,,
1	6	τοῦ			ὁ	G35880	EA	,,,GMS,
1	6	Θεοῦ		;	θεός	G23160	N	,,,,GMS,
1	7	ὑπὲρ			ὑπέρ	G52280	P	,,,,G,,,
1	7	γὰρ			γάρ	G10630	CC	,,,,,,,
1	7	τοῦ			ὁ	G35880	EA	,,,GNS,
1	7	ὀνόματος			ὄνομα	G36860	N	,,,,GNS,
1	7	ἐξῆλθον		,	ἐξέρχομαι	G18310	V	IAA3,,P,
1	7	μηδὲν			μηδείς	G33670	RI	,,,ANS,
1	7	λαμβάνοντες			λαμβάνω	G29830	V	PPA,NMP,
1	7	ἀπὸ			ἀπό	G05750	P	,,,,G,,,
1	7	τῶν			ὁ	G35880	EA	,,,GMP,
1	7	ἐθνικῶν		.	ἐθνικός	G14820	NS	,,,GMP,
1	8	ἡμεῖς			ἐγώ	G14730	RP	,,1N,P,
1	8	οὖν			οὖν	G37670	CC	,,,,,,,
1	8	ὀφείλομεν			ὀφείλω	G37840	V	IPA1,,P,
1	8	ὑπολαμβάνειν			ὑπολαμβάνω	G52740	V	NPA,,,,,
1	8	τοὺς			ὁ	G35880	EA	,,,AMP,
1	8	τοιούτους		,	τοιοῦτος	G51080	RD	,,,AMP,
1	8	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	8	συνεργοὶ			συνεργός	G49040	NP	,,,NMP,
1	8	γινώμεθα			γίνομαι	G10960	V	SPM1,,P,
1	8	τῇ			ὁ	G35880	EA	,,,DFS,
1	8	ἀληθείᾳ		.	ἀλήθεια	G02250	N	,,,,DFS,
1	9	ἔγραψά	¶		γράφω	G11250	V	IAA1,,S,
1	9	τι			τις	G51000	RI	,,,ANS,
1	9	τῇ			ὁ	G35880	EA	,,,DFS,
1	9	ἐκκλησίᾳ		,	ἐκκλησία	G15770	N	,,,,DFS,
1	9	ἀλλ’			ἀλλά	G02350	CC	,,,,,,,
1	9	ὁ			ὁ	G35880	RD	,,,NMS,
1	9	φιλοπρωτεύων			φιλοπρωτεύω	G53830	V	PPA,NMS,
1	9	αὐτῶν		,	αὐτός	G08460	RP	,,3GMP,
1	9	Διοτρέφης		,	Διοτρέφης	G13610	N	,,,,NMS,
1	9	οὐκ			οὐ	G37560	D	,,,,,,,,
1	9	ἐπιδέχεται			ἐπιδέχομαι	G19260	V	IPM3,,S,
1	9	ἡμᾶς		.	ἐγώ	G14730	RP	,,1A,P,
1	10	διὰ			διά	G12230	P	,,,,A,,,
1	10	τοῦτο		,	οὗτος	G37780	RD	,,,ANS,
1	10	ἐὰν			ἐάν	G14370	CS	,,,,,,,
1	10	ἔλθω		,	ἔρχομαι	G20640	V	SAA1,,S,
1	10	ὑπομνήσω			ὑπομιμνῄσκω	G52790	V	IFA1,,S,
1	10	αὐτοῦ			αὐτός	G08460	RP	,,3GMS,
1	10	τὰ			ὁ	G35880	EA	,,,ANP,
1	10	ἔργα		,	ἔργον	G20410	N	,,,,ANP,
1	10	ἃ			ὅς	G37390	RR	,,,ANP,
1	10	ποιεῖ		,	ποιέω	G41600	V	IPA3,,S,
1	10	λόγοις			λόγος	G30560	N	,,,,DMP,
1	10	πονηροῖς			πονηρός	G41900	AA	,,,DMP,
1	10	φλυαρῶν			φλυαρέω	G53960	V	PPA,NMS,
1	10	ἡμᾶς		;	ἐγώ	G14730	RP	,,1A,P,
1	10	καὶ			καί	G25320	CC	,,,,,,,
1	10	μὴ			μή	G33610	DO	,,,,,,,
1	10	ἀρκούμενος			ἀρκέω	G07140	V	PPP,NMS,
1	10	ἐπὶ			ἐπί	G19090	P	,,,,D,,,
1	10	τούτοις		,	οὗτος	G37780	RD	,,,DNP,
1	10	οὔτε			οὔτε	G37770	CO	,,,,,,,
1	10	αὐτὸς			αὐτός	G08460	RE	,,3NMS,
1	10	ἐπιδέχεται			ἐπιδέχομαι	G19260	V	IPM3,,S,
1	10	τοὺς			ὁ	G35880	EA	,,,AMP,
1	10	ἀδελφοὺς		,	ἀδελφός	G00800	N	,,,,AMP,
1	10	καὶ			καί	G25320	CO	,,,,,,,
1	10	τοὺς			ὁ	G35880	RD	,,,AMP,
